# id	rel_path	reason
bevy	assets/shaders/custom_clustered_decal.wgsl	Pinned upstream naga-oil/Naga writer panics while composing this profile, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/backdrop.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/backdrop_dyn.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/bbox_clear.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/binning.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/clip_leaf.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/clip_reduce.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/coarse.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/draw_leaf.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/draw_reduce.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/fine.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/flatten.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/path_count.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/path_count_setup.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/path_tiling.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/path_tiling_setup.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/pathtag_reduce.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/pathtag_reduce2.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/pathtag_scan.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/pathtag_scan1.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
vello	vello_shaders/shader/tile_alloc.wgsl	Pinned upstream naga-oil rejects Vello build-time full-module imports with unqualified declaration use, so moon_wgsl still composes it through the external corpus gate but upstream differential parity cannot compare writer output at this pinned oracle version.
